se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1313,55,2,2,48.68,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,56,2,2,23.64,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,57,2,2,18.31,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,58,2,2,48.58,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,59,2,2,43.41,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,60,2,2,18.53,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,61,2,2,25.51,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,62,2,2,272,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,66,2,2,14.35,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,67,2,2,18.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,68,2,2,19.19,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,69,2,2,20.93,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,70,2,2,11.4,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1317,71,2,2,34.98,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,62,2,2,273,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,66,2,2,14.29,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,67,2,2,18.62,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,68,2,2,19.56,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,69,2,2,21.22,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,70,2,2,11.85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1318,71,2,2,33.88,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1319,72,2,2,288,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1319,75,2,2,15.35,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1319,76,2,2,18.11,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1319,77,2,2,255,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1319,80,2,2,13.78,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
